t	pi	freq
20480000	0.390955	0.7335
20500000	0.0745891	0.9612
20520000	0.00219758	0.0011
20540000	0.211656	0.1203
20560000	0.00159872	0.0008
20580000	0.163636	0.0899
20600000	0.496752	0.5403
20620000	0.00518648	0.0026
20640000	0.00558432	0.9972
20660000	0.216194	0.8767
20680000	0.00019998	0.9999
20700000	0.00419118	0.9979
20720000	0.104128	0.9449
20740000	0.481453	0.4037
20760000	0	0
20780000	0.0009995	0.0005
20800000	0.494059	0.5545
20820000	0.00219758	0.9989
20840000	0.0756953	0.9606
20860000	0	1
20880000	0.272727	0.8371
20900000	0.0115327	0.0058
